Num,Ambiente,00:26:5a:66:55:ef,00:27:19:ca:71:d2,18:0d:2c:7f:eb:ac,18:0d:2c:7f:f5:9c,18:d6:c7:f9:37:2f,1c:3b:f3:3c:b3:1a,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,24:fd:0d:57:19:26,2c:57:41:d4:69:c2,44:d2:44:dd:32:40,48:51:cf:81:b0:9e,4c:e1:75:db:58:80,4c:e1:75:db:58:82,50:c7:bf:ef:56:8a,54:e6:fc:cf:22:de,58:10:8c:91:f3:aa,60:32:b1:2d:66:c3,64:70:02:99:fe:f4,7c:f1:7e:8d:13:22,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,86:5d:e9:c5:47:8c,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,cc:32:e5:0c:fc:2b,d8:0d:17:3e:c3:cb,d8:5d:4c:86:7e:66,da:38:d4:2e:cb:c6,e2:e7:86:8e:b8:de,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62,e8:94:f6:b9:2f:46,Total geral
50,Auditório elétrica,-60,,-76,-76,-68,,,,,,-83,,-88,-85,,,-80,,-76,-75,,-66,-85,-85,,,,,-73,-73,,,-85,-85,-86,-86,-69,-69,,,-92,,,,,-82,-74,-91,-94,,-86,-87,,-2235
51,Coordenação pós graduação,-88,,-61,-58,-75,,,,-83,-83,-79,,-88,-88,,,-90,,-57,-89,-92,-67,,,,,,,,,,,,,-80,-82,,,,,,,,,,,,-78,,,-77,-76,,-1491
52,Coordenação pós graduação,-90,,-61,-56,-74,,,,-84,-84,-81,,-86,-90,,,-89,,-59,-86,-89,-62,,,,,,,,,,,,,-83,-83,,,,,,,,,,,,-77,,,-75,-74,,-1483
53,Coordenação pós graduação,-84,,-61,-58,-74,,,,-82,-82,-80,,-87,-88,,,-90,,-61,-89,-93,-61,,,,,,,,,,,,,-83,-82,,,,,,,,,,-93,,-78,,,-74,-74,,-1574
54,Coordenação pós graduação,-84,,-61,-60,-73,,,,-83,-83,-85,,-86,-92,,,-93,,-59,-88,-91,-63,,,,,,,,,,,,,-82,-82,,,,,,,,,,,,-80,,,-73,-74,,-1492
55,Coordenação pós graduação,-87,,-61,-60,-73,,,,-84,-84,-77,,-87,-89,,,-92,,-56,-89,-89,-61,,,,,,,,,,,,,-83,-83,,,,,,,,,,-92,,-82,,,-74,-74,,-1577
56,Redes convergentes,-82,,-51,-50,-68,-95,,,-79,-80,-73,,-77,-88,,,-84,,-43,-87,,-72,,,,,,,,,,,-88,-89,-89,-92,,,,,,,,,,-95,,-71,,,-58,-58,-90,-1759
57,Redes convergentes,-80,,-53,-49,-68,,,,-79,-79,-80,,-80,-87,,,-86,,-45,-83,,-67,,,,,,,,,,,-82,-82,,,,,,,,,,,,,-91,-68,,,-62,-62,-90,-1473
58,Redes convergentes,-79,,-50,-50,-68,,,,-80,-81,-78,,-78,-85,,,-86,,-42,-83,,-64,,,,,,,,,,,-82,-81,,,,,,,,,,,,-95,-93,-69,,,-62,-62,-90,-1558
59,Redes convergentes,-81,,-50,-50,-68,,,,-81,-82,-78,,-78,-85,,,-89,,-47,-83,,-61,,,,,,,,,,,-86,-85,-91,,,,,,,,,,,-95,-92,-69,,,-62,-62,-90,-1665
60,Redes convergentes,-76,,-50,-46,-67,-94,,,-88,-87,-75,,-78,-84,,,-90,,-43,-87,,-66,,,,,,,,,,,-85,-85,-89,,,,,,,,,,,-96,-93,-69,,,-61,-61,-90,-1760
61,Fibras ópticas,-72,,-66,-50,-63,,,,-87,-87,-74,,-78,-86,,,-89,,-45,-76,,-66,,,,,,,,,,,-85,-86,-81,-81,,,,,,,,,,-89,-92,-91,,,-67,-67,-84,-1762
62,Fibras ópticas,-78,,-69,-49,-64,,,,-84,-83,-77,,-75,-92,,,-84,,-39,-80,,-74,,,,,,,,,,,-87,-88,-83,-83,,,,,,,,,,-90,-93,-89,,,-71,-71,-86,-1789
63,Fibras ópticas,-72,,-67,-48,-69,,,,-80,-80,-78,,-78,-80,,,-85,,-40,-76,,-70,,,,,,,-93,,,,-84,-83,-82,-82,,,,,,,,,,-91,-93,-86,,,-65,-66,-88,-1836
64,Fibras ópticas,-81,,-56,-47,-67,,,,-81,-81,-76,,-81,-85,,,-87,,-41,-75,,-70,,,,,,,-90,-90,,,-83,-83,-85,-85,,,,,,,,,,-89,-91,-88,,,-66,-66,-88,-1932
