Num,Ambiente,00:26:5a:66:55:ef,00:27:19:ca:71:d2,06:1e:a2:0a:db:03,06:ad:54:f8:9d:b8,18:0d:2c:7f:eb:ac,18:0d:2c:7f:f5:9c,18:d6:c7:f9:37:2f,24:2f:d0:cc:ed:8c,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,24:36:da:a2:7f:40,24:36:da:a2:7f:42,24:fd:0d:57:19:26,2c:57:41:cd:e1:c0,2c:57:41:cd:e1:c2,2c:57:41:d4:a5:20,2c:57:41:d4:a5:22,48:51:cf:81:b0:9e,50:c7:bf:ef:56:8a,54:e6:fc:ba:ad:86,54:e6:fc:cf:22:de,58:10:8c:91:f3:aa,60:32:b1:2d:66:c3,64:70:02:99:fe:f4,6e:ac:d9:fb:2c:71,7c:f1:7e:8d:13:22,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:7f:60,84:f1:47:54:7f:62,84:f1:47:54:80:60,84:f1:47:54:80:62,84:f1:47:54:81:00,84:f1:47:54:81:02,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:60,84:f1:47:54:fd:62,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,ae:f6:95:5d:17:2e,b8:11:4b:1d:12:00,b8:11:4b:1d:12:02,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,c4:12:f5:d3:01:90,cc:32:e5:0c:fc:2b,d8:0d:17:3e:c3:cb,d8:36:5f:54:70:40,d8:5d:4c:86:7e:66,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62,e8:94:f6:b9:2f:46,Total geral
90,LabQuimica01,,,,,-86,-90,-92,,,,-84,-84,,,,-88,-89,,,,-90,,,-85,,,,-84,-53,-53,,,,,,,,,,,-89,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1155
91,LabMicroscopia,-94,,,,-92,-90,-88,,,,,,,,,,,,,,-72,-85,,-92,-89,,,-92,-84,-84,,,,,,,-83,-83,,,-80,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1288
92,LabMicroscopia,-92,,,,-93,-94,-93,,,,,,,,,,,,,,-70,-83,,-90,,,,-93,-84,-84,,,,,,,-80,-81,,,-81,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1198
93,LabMicroscopia,-89,,,,,-92,-91,,,,,,,,,,,,,,-76,-87,,-90,,,,-94,-83,-82,,,,,,,-84,-83,,,-78,-78,,,,,,,,,,,,,,,,,,,,,,-93,,,,,,-1200
94,LabMicroscopia,-91,,,,-96,,,,,,,,,,,,,,,,-72,-86,,-93,,,,-94,-85,-82,,,,,,,-81,-81,,,-79,-79,,,,,,,,,,,,,,,,,,,,,,-96,,,,,,-1115
95,LabMicroscopia,-94,,,,,,,,,,,,,,,,,,,,-75,-87,,-91,,,,-94,-86,-85,,,,,,,-84,-85,,,-78,-78,,,,,,,,,,,,,,,,,,,,,,-95,,,,,,-1032
96,LabMatematica,-93,,,,-94,,-87,,,,,,,,,,,,,,-60,-88,,-91,,,,-89,-80,-82,,,,,,,-86,-87,,,-80,-80,,,,,,,-87,-87,,,,,,,,,,,,,,,,,,,,-1271
97,LabMatematica,-95,,-92,,,-95,-86,,,,,,,,,,,-89,-88,,-59,-90,,-92,-95,,,-93,-82,-81,,,,,,,-82,-83,,,-78,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1459
98,LabMatematica,-93,,,,,,-84,,,,,,,,,,,,,,-60,-94,,-92,-93,,,-91,-86,-85,,,,,,,-86,-86,,,-80,-80,,,,,,,-88,-90,,,,,,,,,,,,,,,,,,,,-1288
99,LabMatematica,-90,,,,,,-87,,,,,,,,,,,,,,-58,-92,,-94,-92,,,-92,-81,-80,,,,,,,-85,-87,,,-78,-79,,,,,,,-89,,,,,,,,,,,,,,,,,,,,,-1184
100,LabMatematica,-92,,,,,,-85,,,,,,,,,,,,,,-61,-86,,-93,-90,,,-95,-80,-81,,,,,,,-85,-85,,,-79,-79,,,,,,,-87,-87,,,,,,,,,,,,,,,,,,,,-1265
101,LabBiologia,-90,,,,-74,-79,-85,-96,,,-70,-71,,,-81,,,,,,-79,,,-65,-97,,,-79,-72,-72,,,,,,,,,-88,-89,-82,-82,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,-1540
102,LabBiologia,-93,,,,-74,-76,-84,-93,,,-69,-68,,,-85,,,,,,-83,,,-67,,,,-77,-75,-75,,,,,,,,,,-93,-82,-82,,,,,,,,,,,,,,,,,,,,,,,,-91,,,,-1367
103,LabBiologia,-89,,,,-73,-79,-82,,,,-67,-67,,,-82,,,,,,-83,,,-70,,,,-83,-73,-72,,,,,,,,,,,-85,-86,,,,,,,,,,,,,,,,,,,,,,,,-90,,,,-1181
104,LabBiologia,-91,,,,-83,-83,-86,,,,-70,-70,,,-82,,,,,,-84,,,-81,-92,,,-77,-74,-74,,,,,,,,,,,-83,-83,,,,,,,,,,,,,,,,,,,,,,,,,-90,,,-1303
105,LabBiologia,-93,,,,-83,,-90,,,,-68,-68,,,-90,,,,,,-80,,,-83,-98,,,-77,-73,-72,,,,,,,,,,,-82,-83,,,,,,,,,,,,,,,,,,,,,,,,-95,,,,-1235
106,LabFisica,-92,,,,-84,,-82,,,,-76,-76,,,-93,-88,-87,,,,-78,,,-75,-93,,,-78,-77,-77,,,,,,,,,,,-83,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1322
107,LabFisica,-87,,,,-83,-86,-86,-95,,,-74,-73,,,-91,,,,,,-78,,,-77,-92,,,-75,-77,-76,,,,,,,,,,,-85,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1319
108,LabFisica,-92,,,,-82,-83,-83,-93,,,-71,-71,,,-89,,,,,,-80,,,-79,-95,,,-74,-72,-72,,,,,,,,,,,-84,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1304
109,LabFisica,,,,,-81,,-85,-95,,,-69,-69,,,-88,,,,,,-78,,,-76,-95,,,-77,-73,-72,,,,,,,,,,,-85,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1127
110,LabFisica,-88,,,,-79,,-85,-93,,,-69,-69,,,-84,-89,-89,,,,-81,,,-77,-93,,,-74,-72,-72,,,,,,,,,,,-84,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1382
111,NucleoPesquisa,-87,,,,-87,-85,-93,,,,,,,,-92,,,,,-89,-50,-89,,-83,-88,,-92,-84,,,,,,,,,,,,,-66,-66,,,,,,,,,,-89,,,,,,,,,,,-96,,,,,,,-1336
112,NucleoPesquisa,-88,,,,-89,,-90,,,,,,,,-89,,,,,-87,-56,-91,,-86,-87,,-77,-85,,,,,,,,,,,,,-66,-66,,,,,,,,,-89,-89,,,,,,,,,,,-98,,,,,,,-1333
113,NucleoPesquisa,-89,,,,-88,,-92,,,,,,,,-92,,,,,-85,-57,-91,,-86,-86,,-90,-87,,,,,,,,,,,,,-68,-68,,,,,,,,,-89,-91,,,,,,,,,,,-96,,,,,,,-1355
114,NucleoPesquisa,-89,,,,-89,,-92,,,,,,,,,,,,,-88,-54,-93,,-84,-86,,-72,-86,,,,,,,,,,,,,-68,-68,,,,,,,,,-89,-89,,,,,,,,,,,,,,,,,,-1147
115,NucleoPesquisa,-91,,,,-85,-85,-88,,,,,,,,-92,,,,,-87,-54,-92,,-83,-82,,-84,-86,,,,,,,,,,,,,-65,-65,,,,,,,,,-88,-89,,,,,,,,,,,,,,,,,,-1316
116,CoordenacaoQuimica,-88,,,,-90,,-87,,,,,,,,,,,,,,-55,-93,,-86,-90,,,-92,,,,,,,,,-91,,,,-79,-79,,,,,,,,,-80,-80,,,,,,,,,,,-97,,-92,,,,,-1279
117,CoordenacaoQuimica,-91,,,,-90,,-84,,,,,,,,,,,,,-93,-60,-90,,-91,-87,,,-91,,,,,,,,,,,,,-82,-82,,,,,,,,,-82,-81,,,,,,,,,,,-94,,-96,,,,,-1294
118,CoordenacaoQuimica,-88,,,,-93,-91,-88,,,,,,,,,,,,,-93,-65,-89,,-90,-87,,,-91,,,,,,,,,-89,-90,,-92,-80,-80,,,,,,,,,-82,-81,,,,,,,,,,,,,,,,,,-1469
119,CoordenacaoQuimica,-89,,,,-90,-92,-85,,,,,,,,,,,,,-92,-61,-86,,-92,-83,,,-90,,,,,,,,,-90,-90,-91,-92,-81,-81,,,,,,,,,-83,-84,,,,,,,,,,,-94,,,,,,,-1646
120,CoordenacaoQuimica,-89,,,,-91,-92,-87,,,,,,,,,,,,,-92,-62,-88,,-87,-90,,,-91,,,,,,,,,,,-88,-91,-79,-78,,,,,,,,,-83,-81,,,,,,,,,,,-93,,,,,,,-1462
