Num,Ambiente,00:26:5a:66:55:ef,00:27:19:ca:71:d2,06:1e:a2:0a:db:03,06:ad:54:f8:9d:b8,18:0d:2c:7f:eb:ac,18:0d:2c:7f:f5:9c,18:d6:c7:f9:37:2f,24:2f:d0:cc:ed:8c,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,24:36:da:a2:7f:40,24:36:da:a2:7f:42,24:fd:0d:57:19:26,2c:57:41:cd:e1:c0,2c:57:41:cd:e1:c2,2c:57:41:d4:a5:20,2c:57:41:d4:a5:22,48:51:cf:81:b0:9e,50:c7:bf:ef:56:8a,54:e6:fc:ba:ad:86,54:e6:fc:cf:22:de,58:10:8c:91:f3:aa,60:32:b1:2d:66:c3,64:70:02:99:fe:f4,6e:ac:d9:fb:2c:71,7c:f1:7e:8d:13:22,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:7f:60,84:f1:47:54:7f:62,84:f1:47:54:80:60,84:f1:47:54:80:62,84:f1:47:54:81:00,84:f1:47:54:81:02,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:60,84:f1:47:54:fd:62,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,ae:f6:95:5d:17:2e,b8:11:4b:1d:12:00,b8:11:4b:1d:12:02,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,c4:12:f5:d3:01:90,cc:32:e5:0c:fc:2b,d8:0d:17:3e:c3:cb,d8:36:5f:54:70:40,d8:5d:4c:86:7e:66,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62,e8:94:f6:b9:2f:46,Total geral
49,SalaProfessores,-86,,,,-75,-83,-78,,,,,,,,-54,,,,,-59,,,,-79,-85,-90,,-83,,,,,,,,,,,,,,,,,,,,,,,,,-64,-64,,,,,,,,,-71,-78,,-71,,,-70,-1190
50,SalaProfessores,-87,,,,-72,-81,-79,,,,,,,,-59,,,,,-65,,,,-76,-84,-92,,,,,,,,,,,,,,,,,-90,-91,,,,,,,,,-63,-63,,,,,,,,,-71,-82,,-72,,,-70,-1297
51,LabInformatica09,-85,,,,-73,,-87,,,,,,,,-63,,,,,-88,,,,-66,-95,-89,,-75,,,,,-62,-62,,,,,,,,,-90,-90,-88,-89,,,,,,,-89,-89,,,,,,,,,-92,-80,,-56,-93,,-88,-1789
52,LabInformatica09,-78,-95,,,-75,,-80,,,,,,,,-64,,,,,-83,,,,-67,-92,-94,,-73,,,,,-63,-63,,,,,,,,,,,-88,-90,,,,,,,-86,-87,,,,,,-82,-82,,-86,-78,,-60,,,-91,-1757
53,LabInformatica09,-90,,,,-69,,-79,,,,,,,,-62,,,,,-87,,,-92,-70,-93,-93,,-84,,,-90,-91,-64,-64,,,,,,,,,,,-90,-91,,,,,,,-84,-85,,,,,,-90,-88,,-88,-81,,-57,-89,-89,-93,-2153
54,LabInformatica09,-87,,,,-73,-81,-80,,,,,,,,-65,,,,,-84,,,-94,-69,-93,-90,,-78,,,,,-63,-63,,,,,,,,,,,-88,-90,,,,,,,-86,-86,,,,,,-85,-84,,-85,-85,,-54,-89,-91,-95,-2038
55,LabInformatica09,-87,,,,-72,-83,-83,,,,,,,,-63,,,,,-84,,,-95,-70,,-93,,-79,,,,,-63,-63,,,,,,,,,,,,,,,,,,,-87,-86,,,,,,-87,-86,,-88,-84,,-56,-91,-88,-92,-1780
56,SalaTecnicos,-81,,,-77,-71,,-74,,,,,,,,-53,,,,,-83,,,,-64,-91,,,-71,,,,,-73,-73,,,,,,,,,,-91,-76,-76,,,-88,-87,,,-84,-85,,,,,,,,,-83,-65,,-73,-88,-89,-84,-1880
57,SalaTecnicos,-82,,,-78,-72,-79,-77,,,,,,,,-57,,,,,-80,,,-92,-63,-91,-93,,-78,,,,,-74,-74,,,,,,,,,,,-84,-84,,,-87,-87,,,-83,-83,,,,,,,,,-85,-65,,-71,-86,-86,-83,-2074
58,SalaTecnicos,-85,,,-73,-75,-84,-77,,,,,,,,-62,,,,,-77,,,-94,-69,-90,-89,,-72,,,,,-73,-73,,,,,,,,,,,-81,-81,,,-89,-87,,,-83,-83,,,,,,,,,-90,-67,,-68,-88,-89,-85,-2084
